sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
269	13	dop	0.4220540000001165	-88.39015144803916	14	73632	38	38
270	25	dop	4.298946999999998	-128.3324871935183	30	299451	67	67
271	46	dop	32.79237199999989	-257.6316599434336	53	895152	116	116
272	24	dop	2.6283469999998488	-112.23758618685348	22	227487	64	64
273	17	dop	0.9008679999999458	-94.00765269689035	20	122502	47	47
274	21	dop	1.9392620000000989	-130.03852460888325	25	202585	56	56
275	28	dop	5.901837999999998	-172.35058596636662	32	376922	73	73
276	15	dop	0.50349099999994	-80.26343786333688	17	84408	39	39
277	19	dop	1.271876999999904	-117.04823331417349	28	156175	50	50
278	17	dop	1.0174150000000282	-127.59785244942324	23	139196	46	46
279	23	dop	3.3050640000001295	-133.56728195213395	24	273152	57	57
280	13	dop	0.3832549999999628	-86.77416723408051	14	68417	37	37
281	22	dop	1.9935970000001362	-124.3742154436927	25	205756	60	60
282	16	dop	0.8843329999999696	-83.91363481211886	15	126763	42	42
283	52	dop	73.35192200000006	-334.4736620306619	57	1337777	142	142
284	54	dop	79.2708369999998	-335.95075382940786	64	1418235	139	139
285	27	dop	5.245904999999993	-167.8885246238664	35	346072	73	73
286	13	dop	0.6328790000000026	-88.84661029027278	17	96371	32	32
287	52	dop	64.42038699999989	-336.94122756545596	65	1287609	132	132
288	17	dop	1.0716429999999946	-95.51897162783817	23	123982	45	45
289	29	dop	4.525651000000153	-189.93895938781722	44	310646	76	76
290	13	dop	0.35313799999994444	-65.76936378267625	19	63392	33	33
291	17	dop	1.0047669999999016	-106.65537217827787	23	133678	45	45
292	29	dop	5.959182999999939	-173.36896281056127	33	378500	76	76
